call her bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156
calling my bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156
calls my bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156
calls his bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156
calls your bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156
calls their bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156
calling her bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156
called their bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156
calling his bluff,"to make someone prove that what they are saying is true, or to make someone prove that they will really do what they say, because you do not believe them",156
called the shots,take the initiative in deciding how something should be done,157
calling the shots,take the initiative in deciding how something should be done,157
calls the shots,take the initiative in deciding how something should be done,157
call the shots,take the initiative in deciding how something should be done,157
can of worms,"a situation that it is complicated, unpleasant and difficult to deal with",158
can't standing the pace,to be unable to do things well when there is a lot of pressure,159
can't stands the pace,to be unable to do things well when there is a lot of pressure,159
can't stand the pace,to be unable to do things well when there is a lot of pressure,159
can't stood the pace,to be unable to do things well when there is a lot of pressure,159
cap it all,a bad or disappointing thing happens after several other bad or disappointing things have already happened,160
cards are stacked against,"someone is not likely to succeed, especially because the person is not being given a fair chance",161
carrot and sticks,a system in which you are rewarded for some actions and threatened with punishment for others,162
carried coals to new castle,to take something to a place or a person that has a lot of that thing already,163
carrying coals to new castle,to take something to a place or a person that has a lot of that thing already,163
carries coals to new castle,to take something to a place or a person that has a lot of that thing already,163
carry coals to new castle,to take something to a place or a person that has a lot of that thing already,163
carries the can,"to accept blame or take responsibility for something that goes wrong, even if it is not your fault or only partly",164
carry the can,"to accept blame or take responsibility for something that goes wrong, even if it is not your fault or only partly",164
carried the can,"to accept blame or take responsibility for something that goes wrong, even if it is not your fault or only partly",164
carrying the can,"to accept blame or take responsibility for something that goes wrong, even if it is not your fault or only partly",164
carry the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,165
carried the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,165
carrying the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,165
carries the torch for,to have strong feelings for someone with whom you do not or cannot have a relationship,165
cast a long shadow,something or someone that has considerable influence on other people or events,166
cast in the same mould,to be very similar in character to someone else,167
cat and dog life,a life in which partners are constantly or frequently quarrelling,168
catnap,to have a short sleep during the day,169
cat on hot bricks,to be very nervous or restless,170
caught 22,"a  frustrating situation where you cannot do one thing without doing a second, and you cannot do the second before doing the first",171
catches 22,"a  frustrating situation where you cannot do one thing without doing a second, and you cannot do the second before doing the first",171
catch 22,"a  frustrating situation where you cannot do one thing without doing a second, and you cannot do the second before doing the first",171
catching 22,"a  frustrating situation where you cannot do one thing without doing a second, and you cannot do the second before doing the first",171
caught in the crossfire,to suffer the effects of an argument or dispute between two people or groups,172
caught unaware,to be surprised and unprepared for what happens,173
cause a stir,to create an atmosphere of excitement or great interest,174
cause a stirs,to create an atmosphere of excitement or great interest,174
cause a stirring,to create an atmosphere of excitement or great interest,174
cause a stirred,to create an atmosphere of excitement or great interest,174
champ at the bit,"to be ready and eager to start an activity, and to show impatience at being delayed",175
chance your arm,to decide to do something even though there is little hope of success,176
change horses in midstream,To make major changes to a situation or course of action that is already underway.,177
change of heart,"to change your attitude or feelings, especially towards greater friendliness or cooperation",178
cheesed off,annoyed and disappointed with something or someone,179
chill out,do something that helps to calm down and relax for a while,180
chill wind,to encounter the problems or trouble,181
chip on her shoulder,"to feel resentful because you feel someone is being treated unfairly, especially because of their background, their sex or their colour",182
chip on my shoulder,"to feel resentful because you feel someone is being treated unfairly, especially because of their background, their sex or their colour",182
chip on their shoulder,"to feel resentful because you feel someone is being treated unfairly, especially because of their background, their sex or their colour",182
chip on your shoulder,"to feel resentful because you feel someone is being treated unfairly, especially because of their background, their sex or their colour",182
chip on his shoulder,"to feel resentful because you feel someone is being treated unfairly, especially because of their background, their sex or their colour",182
clamp down,suppress or prevent something in an oppressive or harsh manner,183
clear the air,"to try to remove the causes of fear, worry or suspicion by talking about the problem openly",184
cloak and dragger,"situations involving intrigue, secrecy, espionage, or mystery",185
close but no cigar,an effort to do something which was a good attempt but not quite good enough to succeed,186
close shaved,a situation where an accident or a disaster nearly happened,187
close shaving,a situation where an accident or a disaster nearly happened,187
close shave,a situation where an accident or a disaster nearly happened,187
